Item Name,SKU,Unit,Item Type,Category,Subcategory,Description,MOQ,Size,Packaging Type,HEX Color,Image URL
LC-GP-0802,LC-GP-0802,ml,Inventory,Gel Polish,Solid Colours,Colour: #202838,25,10ml,Bottle,#202838,
LC-GP-803,LC-GP-803,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-803.webp
LC-GP-0803,LC-GP-0803,ml,Inventory,Gel Polish,Solid Colours,Colour: #203840,25,10ml,Bottle,#203840,
LC-GP-804,LC-GP-804,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-804.webp
LC-GP-0804,LC-GP-0804,ml,Inventory,Gel Polish,Solid Colours,Colour: #284878,25,10ml,Bottle,#284878,
LC-GP-805,LC-GP-805,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-805.webp
LC-GP-0805,LC-GP-0805,ml,Inventory,Gel Polish,Solid Colours,Colour: #284078,25,10ml,Bottle,#284078,
LC-GP-806,LC-GP-806,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-806.webp
LC-GP-0806,LC-GP-0806,ml,Inventory,Gel Polish,Solid Colours,Colour: #085088,25,10ml,Bottle,#085088,
LC-GP-807,LC-GP-807,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-807.webp
LC-GP-0807,LC-GP-0807,ml,Inventory,Gel Polish,Solid Colours,Colour: #185878,25,10ml,Bottle,#185878,
LC-GP-808,LC-GP-808,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-808.webp
LC-GP-0808,LC-GP-0808,ml,Inventory,Gel Polish,Solid Colours,Colour: #607898,25,10ml,Bottle,#607898,
LC-GP-809,LC-GP-809,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-809.webp
LC-GP-0809,LC-GP-0809,ml,Inventory,Gel Polish,Solid Colours,Colour: #3060A0,25,10ml,Bottle,#3060A0,
LC-GP-810,LC-GP-810,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-810.webp
LC-GP-0810,LC-GP-0810,ml,Inventory,Gel Polish,Solid Colours,Colour: #4868A0,25,10ml,Bottle,#4868A0,
LC-GP-811,LC-GP-811,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-811.webp
LC-GP-0811,LC-GP-0811,ml,Inventory,Gel Polish,Solid Colours,Colour: #286090,25,10ml,Bottle,#286090,
LC-GP-812,LC-GP-812,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-812.webp
LC-GP-0812,LC-GP-0812,ml,Inventory,Gel Polish,Solid Colours,Colour: #5060A8,25,10ml,Bottle,#5060A8,
LC-GP-813,LC-GP-813,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-813.webp
LC-GP-0813,LC-GP-0813,ml,Inventory,Gel Polish,Solid Colours,Colour: #507098,25,10ml,Bottle,#507098,
LC-GP-814,LC-GP-814,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-814.webp
LC-GP-0814,LC-GP-0814,ml,Inventory,Gel Polish,Solid Colours,Colour: #606088,25,10ml,Bottle,#606088,
LC-GP-815,LC-GP-815,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-815.webp
LC-GP-0815,LC-GP-0815,ml,Inventory,Gel Polish,Solid Colours,Colour: #606080,25,10ml,Bottle,#606080,
LC-GP-816,LC-GP-816,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-816.webp
LC-GP-0816,LC-GP-0816,ml,Inventory,Gel Polish,Solid Colours,Colour: #8898B8,25,10ml,Bottle,#8898B8,
LC-GP-817,LC-GP-817,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-817.webp
LC-GP-0817,LC-GP-0817,ml,Inventory,Gel Polish,Solid Colours,Colour: #586888,25,10ml,Bottle,#586888,
LC-GP-818,LC-GP-818,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-818.webp
LC-GP-0818,LC-GP-0818,ml,Inventory,Gel Polish,Solid Colours,Colour: #607080,25,10ml,Bottle,#607080,
